	country	year_1960	year_1961	year_1962	year_1963	year_1964	year_1965	year_1966	year_1967	year_1968	year_1969	year_1970	year_1971	year_1972	year_1973	year_1974	year_1975	year_1976	year_1977	year_1978	year_1979	year_1980	year_1981	year_1982	year_1983	year_1984	year_1985	year_1986	year_1987	year_1988	year_1989	year_1990	year_1991	year_1992	year_1993	year_1994	year_1995	year_1996	year_1997	year_1998	year_1999	year_2000	year_2001	year_2002	year_2003	year_2004	year_2005	year_2006	year_2007	year_2008	year_2009	year_2010	year_2011	year_2012	year_2013	year_2014	year_2015	year_2016	year_2017	year_2018	year_2019	year_2020
11	Australia	10276477.0	10483000.0	10742000.0	10950000.0	11167000.0	11388000.0	11651000.0	11799000.0	12009000.0	12263000.0	12507000.0	12937000.0	13177000.0	13380000.0	13723000.0	13893000.0	14033000.0	14192000.0	14358000.0	14514000.0	14692000.0	14927000.0	15178000.0	15369000.0	15544000.0	15758000.0	16018400.0	16263900.0	16532200.0	16814400.0	17065100	17284000	17495000.0	17667000.0	17855000.0	18072000	18311000	18517000	18711000	18926000	19153000	19413000	19651400	19895400	20127400	20394800	20697900	20827600	21249200	21691700	22031750	22340024	22733465.0	23128129.0	23475686.0	23815995.0	24190907.0	24601860.0	24982688.0	25365745.0	25687041.0
12	Austria	7047539.0	7086299.0	7129864.0	7175811.0	7223801.0	7270889.0	7322066.0	7376998.0	7415403.0	7441055.0	7467086.0	7500482.0	7544201.0	7586115.0	7599038.0	7578903.0	7565525.0	7568430.0	7562305.0	7549425.0	7549433.0	7568710.0	7574140.0	7561910.0	7561434.0	7564985.0	7569794.0	7574586.0	7585317.0	7619567.0	7677850	7754891	7840709.0	7905633.0	7936118.0	7948278	7959017	7968041	7976789	7992324	8011566	8042293	8081957	8121423	8171966	8227829	8268641	8295487	8321496	8343323	8363404	8391643	8429991.0	8479823.0	8546356.0	8642699.0	8736668.0	8797566.0	8840521.0	8879920.0	8917205.0
13	Azerbaijan	3895398.0	4030325.0	4171428.0	4315127.0	4456691.0	4592601.0	4721528.0	4843872.0	4960237.0	5071930.0	5180032.0	5284518.0	5385266.0	5483088.0	5579071.0	5674129.0	5768730.0	5863138.0	5957927.0	6053635.0	6150735.0	6249312.0	6349555.0	6452067.0	6557581.0	6666447.0	6778631.0	6893486.0	7010027.0	7126877.0	7159000	7271000	7382000.0	7495000.0	7597000.0	7685000	7763000	7838250	7913000	7982750	8048600	8111200	8171950	8234100	8306500	8391850	8484550	8581300	8763400	8947243	9054332	9173082	9295784.0	9416801.0	9535079.0	9649341.0	9757812.0	9854033.0	9939771.0	10024283.0	10110116.0
14	Bahamas, The	109532.0	115119.0	121092.0	127340.0	133705.0	140060.0	146381.0	152621.0	158648.0	164265.0	169376.0	173894.0	177863.0	181519.0	185105.0	188895.0	192903.0	197100.0	201482.0	205991.0	210589.0	215321.0	220182.0	225095.0	229913.0	234579.0	239020.0	243265.0	247451.0	251738.0	256227	261007	266028.0	271065.0	275849.0	280179	283980	287363	290600	294063	298045	302618	307657	313123	318893	324848	331032	337387	343680	349600	354936	359583	363581.0	367162.0	370625.0	374200.0	377923.0	381749.0	385635.0	389486.0	393248.0
15	Bahrain	162429.0	167899.0	173140.0	178142.0	182888.0	187432.0	191785.0	196060.0	200652.0	206037.0	212607.0	220311.0	229151.0	239527.0	251908.0	266540.0	283746.0	303169.0	323468.0	342804.0	359897.0	374120.0	385953.0	396451.0	407233.0	419428.0	433478.0	448981.0	465198.0	481081.0	495927	509762	523082.0	536212.0	549590.0	563698	578661	594927	613697	636540	664610	697550	735140	778708	829846	889157	958423	1035924	1114645	1185075	1240864	1278153	1299942.0	1315029.0	1336073.0	1371853.0	1425793.0	1494077.0	1569440.0	1641164.0	1701583.0
16	Bangladesh	48013505.0	49362834.0	50752150.0	52202008.0	53741721.0	55385114.0	57157651.0	59034250.0	60918452.0	62679765.0	64232486.0	65531635.0	66625706.0	67637541.0	68742222.0	70066310.0	71652386.0	73463593.0	75450033.0	77529040.0	79639498.0	81767516.0	83932132.0	86142490.0	88416529.0	90764180.0	93187593.0	95671159.0	98186350.0	100695496.0	103171957	105599125	107983708.0	110350641.0	112737684.0	115169933	117649927	120160571	122682818	125189655	127657862	130088709	132478077	134791598	136986429	139035505	140921154	142660381	144304164	145924795	147575433	149273134	151005733.0	152761413.0	154517385.0	156256287.0	157977151.0	159685421.0	161376713.0	163046173.0	164689383.0
17	Barbados	230985.0	231718.0	232623.0	233632.0	234588.0	235415.0	236084.0	236661.0	237241.0	237963.0	238895.0	240093.0	241523.0	243076.0	244643.0	246158.0	247584.0	248931.0	250200.0	251347.0	252388.0	253296.0	254078.0	254791.0	255493.0	256260.0	257117.0	258012.0	258970.0	259961.0	260933	261912	262890.0	263869.0	264893.0	265955	267047	268183	269334	270455	271511	272494	273423	274331	275283	276320	277475	278701	279946	281107	282131	282987	283698.0	284294.0	284825.0	285327.0	285798.0	286229.0	286640.0	287021.0	287371.0
18	Belarus	8198000.0	8271216.0	8351928.0	8437232.0	8524224.0	8610000.0	8696496.0	8785648.0	8874552.0	8960304.0	9040000.0	9115576.0	9188968.0	9257272.0	9317584.0	9367000.0	9411000.0	9463000.0	9525000.0	9584000.0	9643000.0	9710000.0	9776000.0	9843000.0	9910000.0	9975000.0	10043000.0	10111000.0	10140000.0	10170000.0	10189000	10194000	10216000.0	10239000.0	10227000.0	10194000	10160000	10117000	10069000	10026738	9979610	9928549	9865548	9796749	9730146	9663915	9604924	9560953	9527985	9506765	9490583	9473172	9464495.0	9465997.0	9474511.0	9489616.0	9501534.0	9498264.0	9483499.0	9417849.0	9398861.0
19	Belgium	9153489.0	9183948.0	9220578.0	9289770.0	9378113.0	9463667.0	9527807.0	9580991.0	9618756.0	9646032.0	9655549.0	9673162.0	9711115.0	9741720.0	9772419.0	9800700.0	9818227.0	9830358.0	9839534.0	9848382.0	9859242.0	9858982.0	9856303.0	9855520.0	9855372.0	9858308.0	9861823.0	9870234.0	9901664.0	9937697.0	9967379	10004486	10045158.0	10084475.0	10115603.0	10136811	10156637	10181245	10203008	10226419	10251250	10286570	10332785	10376133	10421137	10478617	10547958	10625700	10709973	10796493	10895586	11038264	11106932.0	11159407.0	11209057.0	11274196.0	11331422.0	11375158.0	11427054.0	11488980.0	11555997.0
20	Belize	92068.0	94700.0	97392.0	100165.0	103069.0	106120.0	109348.0	112707.0	116065.0	119269.0	122184.0	124795.0	127152.0	129294.0	131305.0	133264.0	135143.0	136990.0	138975.0	141302.0	144142.0	147572.0	151486.0	155820.0	160341.0	164918.0	169569.0	174333.0	179023.0	183471.0	187554	191136	194324.0	197625.0	201679.0	206962	213660	221575	230248	238979	247310	255068	262387	269428	276516	283798	291338	299031	306822	314655	322465	330236	338001.0	345707.0	353366.0	360926.0	368399.0	375775.0	383071.0	390351.0	397621.0
