	country	year_1960	year_1961	year_1962	year_1963	year_1964	year_1965	year_1966	year_1967	year_1968	year_1969	year_1970	year_1971	year_1972	year_1973	year_1974	year_1975	year_1976	year_1977	year_1978	year_1979	year_1980	year_1981	year_1982	year_1983	year_1984	year_1985	year_1986	year_1987	year_1988	year_1989	year_1990	year_1991	year_1992	year_1993	year_1994	year_1995	year_1996	year_1997	year_1998	year_1999	year_2000	year_2001	year_2002	year_2003	year_2004	year_2005	year_2006	year_2007	year_2008	year_2009	year_2010	year_2011	year_2012	year_2013	year_2014	year_2015	year_2016	year_2017	year_2018	year_2019	year_2020
41	China	667070000.0	660330000.0	665770000.0	682335000.0	698355000.0	715185000.0	735400000.0	754550000.0	774510000.0	796025000.0	818315000.0	841105000.0	862030000.0	881940000.0	900350000.0	916395000.0	930685000.0	943455000.0	956165000.0	969005000.0	981235000.0	993885000.0	1008630000.0	1023310000.0	1036825000.0	1051040000.0	1066790000.0	1084035000.0	1101630000.0	1118650000.0	1135185000	1150780000	1164970000.0	1178440000.0	1191835000.0	1204855000	1217550000	1230075000	1241935000	1252735000	1262645000	1271850000	1280400000	1288400000	1296075000	1303720000	1311020000	1317885000	1324655000	1331260000	1337705000	1344130000	1350695000.0	1357380000.0	1364270000.0	1371220000.0	1378665000.0	1386395000.0	1392730000.0	1397715000.0	1402112000.0
42	Colombia	16057714.0	16567817.0	17092919.0	17629978.0	18175187.0	18725242.0	19279734.0	19837508.0	20393704.0	20942453.0	21480064.0	22003983.0	22516429.0	23024512.0	23538390.0	24065502.0	24608102.0	25164544.0	25733669.0	26312996.0	26900508.0	27496608.0	28101824.0	28714183.0	29331230.0	29951194.0	30572479.0	31195417.0	31822527.0	32457497.0	33102569	33758328	34422568.0	35091272.0	35758978.0	36421438	37076387	37723803	38364307	38999468	39629965	40255956	40875363	41483872	42075953	42647731	43200901	43737512	44254972	44750054	45222699	45662747	46075721.0	46495492.0	46967706.0	47520667.0	48175048.0	48909844.0	49661056.0	50339443.0	50882884.0
43	Comoros	191122.0	194149.0	197202.0	200371.0	203762.0	207429.0	211477.0	215900.0	220574.0	225324.0	230055.0	234645.0	239229.0	244207.0	250107.0	257285.0	265958.0	275903.0	286628.0	297451.0	307831.0	317617.0	326944.0	336088.0	345455.0	355337.0	365765.0	376647.0	387964.0	399638.0	411598	423873	436454.0	449270.0	462280.0	475394	488625	501955	515382	528853	542358	555895	569480	583213	597230	611625	626427	641624	657227	673251	689696	706578	723865.0	741511.0	759390.0	777435.0	795597.0	813890.0	832322.0	850891.0	869595.0
44	Congo, Dem. Rep.	15248256.0	15637700.0	16041187.0	16461828.0	16903830.0	17369882.0	17862052.0	18378620.0	18913874.0	19459818.0	20011033.0	20564062.0	21121360.0	21690448.0	22282127.0	22903587.0	23560470.0	24249127.0	24956387.0	25663598.0	26358905.0	27040329.0	27717293.0	28403858.0	29119663.0	29881222.0	30683877.0	31528702.0	32443784.0	33464767.0	34612023	35908240	37333917.0	38815835.0	40252973.0	41576239	42757239	43827191	44849968	45919615	47105830	48428534	49871670	51425583	53068869	54785894	56578046	58453687	60411195	62448572	64563853	66755151	69020749.0	71358804.0	73767445.0	76244532.0	78789130.0	81398765.0	84068092.0	86790568.0	89561404.0
45	Congo, Rep.	1018254.0	1043119.0	1069236.0	1096638.0	1125354.0	1155389.0	1186782.0	1219547.0	1253761.0	1289519.0	1326894.0	1365891.0	1406510.0	1448632.0	1492055.0	1536658.0	1582361.0	1629218.0	1677326.0	1726865.0	1777932.0	1830629.0	1884873.0	1940454.0	1996994.0	2054308.0	2112359.0	2171319.0	2231462.0	2293161.0	2356740	2422312	2489945.0	2559880.0	2632345.0	2707532	2785815	2867283	2951651	3038432	3127420	3217930	3310376	3406915	3510468	3622775	3745143	3876123	4011487	4145400	4273738	4394842	4510197.0	4622757.0	4736965.0	4856093.0	4980996.0	5110701.0	5244363.0	5380504.0	5518092.0
46	Costa Rica	1330787.0	1381187.0	1433346.0	1486555.0	1539942.0	1592834.0	1645076.0	1696742.0	1747690.0	1797891.0	1847394.0	1896074.0	1944170.0	1992522.0	2042242.0	2094186.0	2148681.0	2205618.0	2264942.0	2326460.0	2389973.0	2455593.0	2523358.0	2593015.0	2664220.0	2736719.0	2810245.0	2884856.0	2960932.0	3039015.0	3119436	3202083	3286525.0	3372298.0	3458829.0	3545524	3632361	3718952	3803893	3885428	3962369	4034074	4100922	4164053	4225156	4285504	4345421	4404626	4463123	4520739	4577371	4633086	4688003.0	4742111.0	4795390.0	4847805.0	4899336.0	4949955.0	4999443.0	5047561.0	5094114.0
47	Cote d'Ivoire	3503559.0	3631547.0	3770756.0	3918630.0	4071411.0	4226843.0	4383723.0	4544168.0	4713134.0	4897470.0	5102070.0	5328735.0	5576026.0	5841513.0	6121295.0	6412409.0	6713949.0	7026497.0	7350269.0	7685927.0	8033652.0	8393689.0	8764991.0	9144940.0	9530103.0	9918204.0	10307268.0	10698188.0	11094740.0	11502453.0	11924873	12362404	12812428.0	13271638.0	13735438.0	14199759	14665125	15130674	15589407	16032573	16454660	16853027	17231539	17599613	17970493	18354513	18754914	19171250	19605568	20059147	20532944	21028652	21547188.0	22087506.0	22647672.0	23226148.0	23822726.0	24437475.0	25069226.0	25716554.0	26378275.0
48	Croatia	4140181.0	4167292.0	4196712.0	4225675.0	4252876.0	4280923.0	4310701.0	4338683.0	4365628.0	4391490.0	4412252.0	4431275.0	4450564.0	4470161.0	4490660.0	4512082.0	4535934.0	4559571.0	4581085.0	4594778.0	4599782.0	4611509.0	4634234.0	4658254.0	4680285.0	4701417.0	4721446.0	4739745.0	4755207.0	4767260.0	4777368	4689022	4575818.0	4600463.0	4652024.0	4620030	4557097	4534920	4532135	4512597	4468302	4299642	4302174	4303399	4304600	4310145	4311159	4310217	4309705	4305181	4295427	4280622	4267558.0	4255689.0	4238389.0	4203604.0	4174349.0	4124531.0	4087843.0	4065253.0	4047200.0
49	Cuba	7141241.0	7291201.0	7453535.0	7623300.0	7793258.0	7958171.0	8115487.0	8266373.0	8413549.0	8561391.0	8712535.0	8868087.0	9025347.0	9178809.0	9320943.0	9446441.0	9554186.0	9646142.0	9724044.0	9790850.0	9849457.0	9898891.0	9940314.0	9981303.0	10031651.0	10097910.0	10183894.0	10286645.0	10397519.0	10503967.0	10596986	10673534	10736386.0	10789312.0	10838461.0	10888246	10939285	10989730	11038706	11084673	11126423	11164676	11199664	11229185	11250369	11261586	11261241	11251117	11236975	11226711	11225833	11236671	11257112.0	11282722.0	11306909.0	11324777.0	11335108.0	11339255.0	11338146.0	11333484.0	11326616.0
50	Curacao	124826.0	126125.0	128414.0	130860.0	133148.0	135266.0	136682.0	138140.0	140298.0	142581.0	144739.0	147389.0	147710.0	146912.0	148351.0	149129.0	149399.0	149459.0	148341.0	147851.0	148041.0	148629.0	150101.0	151159.0	151940.0	152711.0	152662.0	151456.0	149254.0	146937.0	145400	144403	143912.0	144299.0	144630.0	145139	146306	146956	144472	139428	133860	129047	129205	131897	134192	137658	141239	144056	145880	146833	148703	150831	152088.0	153822.0	155909.0	157980.0	159664.0	160175.0	159336.0	157441.0	155014.0
51	Cyprus	572933.0	576402.0	577696.0	577918.0	578628.0	580972.0	585313.0	591301.0	598495.0	606121.0	613618.0	620860.0	628002.0	635105.0	642322.0	649753.0	657524.0	665521.0	673253.0	680010.0	685408.0	689170.0	691716.0	694076.0	697715.0	703694.0	712335.0	723384.0	736476.0	751043.0	766616	783121	800610.0	818750.0	837104.0	855391	873426	891190	908710	926049	943288	960274	976968	993562	1010410	1027657	1045508	1063708	1081568	1098089	1112617	1124837	1135046.0	1143866.0	1152297.0	1160987.0	1170189.0	1179685.0	1189262.0	1198574.0	1207361.0
52	Czech Republic	9602006.0	9586651.0	9624660.0	9670685.0	9727804.0	9779358.0	9821040.0	9852899.0	9876346.0	9896580.0	9858071.0	9826815.0	9867632.0	9922266.0	9988459.0	10058620.0	10125939.0	10186755.0	10242098.0	10292341.0	10304193.0	10300591.0	10314826.0	10323856.0	10330213.0	10337118.0	10342227.0	10347318.0	10355276.0	10361068.0	10333355	10308578	10319123.0	10329855.0	10333587.0	10327253	10315241	10304131	10294373	10283860	10255063	10216605	10196916	10193998	10197101	10211216	10238905	10298828	10384603	10443936	10474410	10496088	10510785.0	10514272.0	10525347.0	10546059.0	10566332.0	10594438.0	10629928.0	10671870.0	10698896.0
53	Denmark	4579603.0	4611687.0	4647727.0	4684483.0	4722072.0	4759012.0	4797381.0	4835354.0	4864883.0	4891860.0	4928757.0	4963126.0	4991596.0	5021861.0	5045297.0	5059862.0	5072596.0	5088419.0	5104248.0	5116801.0	5123027.0	5121572.0	5117810.0	5114297.0	5111619.0	5113691.0	5120534.0	5127024.0	5129516.0	5132594.0	5140939	5154298	5171370.0	5188628.0	5206180.0	5233373	5263074	5284991	5304219	5321799	5339616	5358783	5375931	5390574	5404523	5419432	5437272	5461438	5493621	5523095	5547683	5570572	5591572.0	5614932.0	5643475.0	5683483.0	5728010.0	5764980.0	5793636.0	5814422.0	5831404.0
54	Djibouti	83634.0	88503.0	94203.0	100618.0	107582.0	114976.0	122876.0	131405.0	140462.0	149889.0	159662.0	169372.0	179237.0	190569.0	205180.0	224177.0	248556.0	277472.0	308008.0	336080.0	358960.0	374934.0	385268.0	393800.0	406018.0	425608.0	454359.0	490337.0	528993.0	563855.0	590393	606843	615050.0	618504.0	622364.0	630385	643649	660858	680465	699973	717577	733019	746947	759639	771599	783248	794554	805456	816361	827820	840194	853671	868136.0	883296.0	898707.0	913998.0	929117.0	944100.0	958923.0	973557.0	988002.0
55	Dominica	60020.0	61036.0	61978.0	62917.0	63921.0	65044.0	66300.0	67687.0	69034.0	70214.0	71084.0	71569.0	71731.0	71739.0	71814.0	72088.0	72662.0	73443.0	74280.0	74960.0	75318.0	75314.0	75012.0	74484.0	73846.0	73207.0	72531.0	71842.0	71212.0	70722.0	70422	70377	70546.0	70818.0	71044.0	71105	70933	70592	70183	69828	69650	69671	69840	70102	70387	70580	70718	70797	70829	70848	70877	70912	70954.0	71019.0	71091.0	71175.0	71307.0	71460.0	71626.0	71808.0	71991.0
56	Dominican Republic	3294222.0	3406282.0	3521018.0	3638110.0	3757123.0	3877768.0	3999796.0	4123100.0	4247559.0	4373127.0	4499722.0	4627202.0	4755464.0	4884460.0	5014187.0	5144632.0	5275767.0	5407496.0	5539596.0	5671801.0	5803929.0	5935895.0	6067769.0	6199657.0	6331760.0	6464229.0	6596967.0	6729930.0	6863438.0	6997877.0	7133491	7270413	7408339.0	7546467.0	7683707.0	7819239	7952766	8084407	8214427	8343288	8471317	8598599	8724974	8850317	8974444	9097262	9218681	9338856	9458079	9576736	9695117	9813219	9930916.0	10048226.0	10165182.0	10281675.0	10397738.0	10513111.0	10627147.0	10738957.0	10847904.0
57	Ecuador	4543658.0	4674176.0	4809194.0	4948991.0	5093848.0	5243980.0	5399423.0	5560013.0	5725462.0	5895368.0	6069375.0	6247421.0	6429377.0	6614840.0	6803271.0	6994331.0	7187794.0	7383713.0	7582357.0	7784074.0	7989178.0	8197648.0	8409396.0	8624594.0	8843463.0	9066100.0	9292481.0	9522362.0	9755576.0	9991870.0	10230931	10472476	10716131.0	10961460.0	11207999.0	11455205	11703169	11951457	12198449	12442109	12681123	12914660	13143465	13369678	13596390	13825839	14059379	14296554	14535740	14774412	15011114	15243885	15474099.0	15707473.0	15951832.0	16212022.0	16491116.0	16785356.0	17084359.0	17373657.0	17643060.0
58	Egypt, Arab Rep.	26632891.0	27366239.0	28112258.0	28871383.0	29644875.0	30433024.0	31237597.0	32056506.0	32881852.0	33703127.0	34513851.0	35311905.0	36102670.0	36896551.0	37708144.0	38549133.0	39422731.0	40329589.0	41275728.0	42267429.0	43309063.0	44400113.0	45539295.0	46728284.0	47968643.0	49258726.0	50602360.0	51991696.0	53399243.0	54788680.0	56134478	57424552	58666812.0	59880656.0	61095804.0	62334025	63601632	64892269	66200259	67515591	68831561	70152662	71485044	72826102	74172073	75523576	76873670	78232124	79636081	81134789	82761244	84529251	86422240.0	88404652.0	90424668.0	92442549.0	94447071.0	96442590.0	98423602.0	100388076.0	102334403.0
59	El Salvador	2766319.0	2846601.0	2931187.0	3019224.0	3109571.0	3201310.0	3293954.0	3387384.0	3481624.0	3576834.0	3673066.0	3770060.0	3867310.0	3964273.0	4060255.0	4154689.0	4247508.0	4338451.0	4426679.0	4511127.0	4591135.0	4666361.0	4737256.0	4804936.0	4871041.0	4936803.0	5002339.0	5067531.0	5133273.0	5200608.0	5270074	5342190	5416327.0	5490478.0	5561916.0	5628602	5689943	5746288	5797764	5844834	5887930	5927001	5962139	5994075	6023801	6052124	6079395	6105810	6131767	6157678	6183877	6210567	6237922.0	6266076.0	6295124.0	6325121.0	6356137.0	6388124.0	6420740.0	6453550.0	6486201.0
60	Equatorial Guinea	255338.0	258786.0	262219.0	266005.0	270616.0	276296.0	283506.0	291786.0	299416.0	304000.0	303986.0	298852.0	289508.0	277656.0	265762.0	255808.0	247969.0	242160.0	239681.0	241977.0	249931.0	264370.0	284638.0	308208.0	331554.0	352116.0	369024.0	382977.0	394973.0	406620.0	419188	432844	447269.0	462637.0	479099.0	496768	515844	536459	558496	581765	606180	631662	658388	686670	716949	749527	784494	821686	860839	901589	943640	986861	1031191.0	1076412.0	1122273.0	1168575.0	1215181.0	1262008.0	1308966.0	1355982.0	1402985.0
61	Eritrea	1007586.0	1033320.0	1060489.0	1088859.0	1118152.0	1148188.0	1178875.0	1210304.0	1242633.0	1276122.0	1310947.0	1347180.0	1384789.0	1423749.0	1463986.0	1505438.0	1547978.0	1591622.0	1636771.0	1683932.0	1733423.0	1784557.0	1836825.0	1890556.0	1946299.0	2003942.0	2064803.0	2127421.0	2185607.0	2231144.0	2258649	2266356	2257593.0	2238631.0	2218436.0	2204227	2196467	2195192	2206439	2237412	2292413	2374721	2481059	2600972	2719809	2826653	2918209	2996540	3062782	3119920	3170437	3213969									
62	Estonia	1211537.0	1225077.0	1241623.0	1258857.0	1277086.0	1294566.0	1308597.0	1318946.0	1331214.0	1345249.0	1360076.0	1376955.0	1392518.0	1405951.0	1418169.0	1429352.0	1439576.0	1450211.0	1460188.0	1468333.0	1477219.0	1487666.0	1498414.0	1508745.0	1518617.0	1528781.0	1540190.0	1552221.0	1561900.0	1568131.0	1569174	1561314	1533091.0	1494128.0	1462514.0	1436634	1415594	1399535	1386156	1390244	1396985	1388115	1379350	1370720	1362550	1354775	1346810	1340680	1337090	1334515	1331475	1327439	1322696.0	1317997.0	1314545.0	1315407.0	1315790.0	1317384.0	1321977.0	1326898.0	1331057.0
63	Eswatini	336578.0	343346.0	350155.0	357279.0	365120.0	373925.0	383820.0	394760.0	406508.0	418739.0	431251.0	443979.0	457039.0	470561.0	484747.0	499759.0	515602.0	532253.0	549787.0	568316.0	587852.0	608374.0	629812.0	652112.0	675240.0	699077.0	723599.0	748634.0	773774.0	798498.0	822423	845267	866995.0	887706.0	907622.0	926836	945506	963416	979922	994105	1005432	1013608	1019054	1022796	1026287	1030575	1036095	1042651	1049948	1057462	1064841	1072029	1079285.0	1086843.0	1095022.0	1104038.0	1113994.0	1124808.0	1136274.0	1148133.0	1160164.0
64	Ethiopia	22151284.0	22671193.0	23221385.0	23798418.0	24397010.0	25013634.0	25641040.0	26280135.0	26944386.0	27652715.0	28415080.0	29248650.0	30140799.0	31036670.0	31861353.0	32566855.0	33128151.0	33577240.0	33993301.0	34487806.0	35141703.0	35984531.0	36995246.0	38142679.0	39374346.0	40652146.0	41965696.0	43329238.0	44757205.0	46272308.0	47887864	49609976	51423591.0	53295556.0	55180993.0	57047906	58883531	60697443	62507724	64343008	66224809	68159422	70142090	72170581	74239508	76346310	78489205	80674343	82916236	85233923	87639962	90139928	92726982.0	95385793.0	98094264.0	100835453.0	103603461.0	106399926.0	109224410.0	112078727.0	114963583.0
65	Faroe Islands	34624.0	35074.0	35521.0	35965.0	36409.0	36843.0	37283.0	37705.0	38131.0	38560.0	39008.0	39456.0	39915.0	40395.0	40847.0	41292.0	41724.0	42133.0	42539.0	42941.0	43339.0	43725.0	44101.0	44483.0	44895.0	45328.0	45812.0	46340.0	46833.0	47159.0	47276	47123	46746.0	46277.0	45848.0	45625	45624	45789	46094	46428	46738	46999	47235	47439	47600	47731	47793	47825	47822	47814	47803	47815	47843.0	47901.0	47965.0	48055.0	48173.0	48326.0	48497.0	48677.0	48865.0
66	Fiji	393480.0	407244.0	421673.0	436303.0	450538.0	463960.0	476399.0	487973.0	498944.0	509708.0	520561.0	531622.0	542843.0	554143.0	565418.0	576626.0	587561.0	598299.0	609383.0	621584.0	635312.0	651032.0	668281.0	685497.0	700478.0	711770.0	718642.0	721776.0	722924.0	724602.0	728575	735398	744470.0	754962.0	765607.0	775428	784389	792736	800148	806302	811011	813923	815257	816078	817864	821606	827869	836185	845356	853636	859816	863451	865065.0	865602.0	866447.0	868632.0	872406.0	877460.0	883490.0	889955.0	896444.0
67	Finland	4429634.0	4461005.0	4491443.0	4523309.0	4548543.0	4563732.0	4580869.0	4605744.0	4626469.0	4623785.0	4606307.0	4612124.0	4639657.0	4666081.0	4690574.0	4711440.0	4725664.0	4738902.0	4752528.0	4764690.0	4779535.0	4799964.0	4826933.0	4855787.0	4881803.0	4902206.0	4918154.0	4932123.0	4946481.0	4964371.0	4986431	5013740	5041992.0	5066447.0	5088333.0	5107790	5124573	5139835	5153498	5165474	5176209	5188008	5200598	5213014	5228172	5246096	5266268	5288720	5313399	5338871	5363352	5388272	5413971.0	5438972.0	5461512.0	5479531.0	5495303.0	5508214.0	5515525.0	5521606.0	5530719.0
68	France	46621688.0	47240526.0	47904879.0	48582624.0	49230585.0	49818019.0	50330268.0	50775788.0	51175507.0	51561833.0	51957747.0	52371320.0	52793151.0	53207744.0	53592235.0	53931390.0	54220033.0	54467709.0	54691866.0	54917110.0	55161510.0	55430278.0	55718940.0	56023775.0	56337675.0	56654703.0	56976126.0	57302642.0	57627106.0	57940199.0	58235716	58559309	58851216.0	59106758.0	59327200.0	59541904	59753095	59964841	60186284	60496708	60912500	61357432	61805266	62244880	62704901	63179356	63621376	64016227	64374979	64707035	65027505	65342789	65659814.0	65998685.0	66312067.0	66548272.0	66724104.0	66918020.0	67101930.0	67248926.0	67391582.0
69	French Polynesia	78080.0	80705.0	83652.0	86847.0	90132.0	93442.0	96719.0	99990.0	103329.0	106814.0	110490.0	114385.0	118438.0	122641.0	126919.0	131229.0	135559.0	139893.0	144273.0	148734.0	153298.0	157954.0	162679.0	167456.0	172249.0	177024.0	181807.0	186588.0	191260.0	195728.0	199906	203716	207238.0	210644.0	214196.0	218064	222323	226854	231562	236217	240681	244929	248976	252707	255995	258780	261007	262717	264064	265256	266449	267702	268995.0	270332.0	271713.0	273119.0	274576.0	276108.0	277673.0	279285.0	280904.0
70	Gabon	500922.0	505793.0	511285.0	517573.0	524891.0	533357.0	543119.0	554054.0	565763.0	577644.0	589317.0	600608.0	611705.0	622914.0	634739.0	647538.0	661398.0	676264.0	692078.0	708788.0	726335.0	744695.0	763932.0	784056.0	805117.0	827107.0	850052.0	873871.0	898472.0	923714.0	949493	975785	1002573.0	1029769.0	1057252.0	1084951	1112944	1141332	1170061	1199058	1228359	1258008	1288310	1319946	1353788	1390550	1430144	1472565	1518538	1568925	1624146	1684629	1749677.0	1817070.0	1883801.0	1947690.0	2007882.0	2064812.0	2119275.0	2172578.0	2225728.0
71	Gambia, The	365049.0	372436.0	379886.0	387635.0	396012.0	405258.0	415478.0	426622.0	438590.0	451228.0	464404.0	478106.0	492424.0	507428.0	523250.0	539985.0	557810.0	576755.0	596540.0	616770.0	637252.0	657581.0	678111.0	700198.0	725688.0	755791.0	791141.0	831011.0	873440.0	915631.0	955595	992671	1027476.0	1060861.0	1094219.0	1128577	1164091	1200522	1238124	1277118	1317708	1360070	1404263	1449925	1496524	1543745	1591444	1639846	1689288	1740277	1793199	1848142	1905020.0	1963708.0	2024037.0	2085860.0	2149134.0	2213900.0	2280092.0	2347696.0	2416664.0
72	Georgia	3645600.0	3703600.0	3760300.0	3816100.0	3870300.0	3921600.0	3966700.0	4005800.0	4042300.0	4080300.0	4119900.0	4163000.0	4205300.0	4242500.0	4279500.0	4311200.0	4342400.0	4372100.0	4397700.0	4430200.0	4467700.0	4504500.0	4542800.0	4582900.0	4622200.0	4662900.0	4704500.0	4743500.0	4790700.0	4803300.0	4802000	4835900	4873500.0	4911100.0	4836076.0	4657722	4491699	4349913	4243607	4157192	4077131	4014373	3978515	3951736	3927340	3902469	3880347	3860158	3848449	3814419	3786695	3756441	3728874.0	3717668.0	3719414.0	3725276.0	3727505.0	3728004.0	3726549.0	3720161.0	3714000.0
73	Germany	72814900.0	73377632.0	74025784.0	74714353.0	75318337.0	75963695.0	76600311.0	76951336.0	77294314.0	77909682.0	78169289.0	78312842.0	78688452.0	78936666.0	78967433.0	78673554.0	78336950.0	78159814.0	78091820.0	78126350.0	78288576.0	78407907.0	78333366.0	78128282.0	77858685.0	77684873.0	77720436.0	77839920.0	78144619.0	78751283.0	79433029	80013896	80624598.0	81156363.0	81438348.0	81678051	81914831	82034771	82047195	82100243	82211508	82349925	82488495	82534176	82516260	82469422	82376451	82266372	82110097	81902307	81776930	80274983	80425823.0	80645605.0	80982500.0	81686611.0	82348669.0	82657002.0	82905782.0	83092962.0	83240525.0
74	Ghana	6635229.0	6848291.0	7071966.0	7300124.0	7524470.0	7739463.0	7941418.0	8132803.0	8321773.0	8520018.0	8735493.0	8973247.0	9229640.0	9493552.0	9749098.0	9985946.0	10199164.0	10395453.0	10590265.0	10805318.0	11056112.0	11348287.0	11676828.0	12033559.0	12405659.0	12783617.0	13164839.0	13552021.0	13947047.0	14353409.0	14773274	15207360	15653345.0	16106756.0	16561677.0	17014058	17462504	17908977	18357159	18812369	19278850	19756929	20246376	20750308	21272328	21814648	22379057	22963946	23563832	24170943	24779614	25387713	25996454.0	26607641.0	27224480.0	27849203.0	28481947.0	29121464.0	29767108.0	30417858.0	31072945.0
75	Gibraltar	23420.0	23808.0	24307.0	24889.0	25478.0	26079.0	26631.0	27172.0	27693.0	28165.0	28601.0	29007.0	29353.0	29657.0	29886.0	30062.0	30179.0	30228.0	30224.0	30172.0	30068.0	29902.0	29698.0	29481.0	29284.0	29151.0	29096.0	29114.0	29164.0	29187.0	29149	29021	28844.0	28680.0	28605.0	28688	28970	29404	29945	30526	31081	31604	32097	32556	32930	33222	33420	33524	33570	33562	33585	33608	33653.0	33694.0	33726.0	33742.0	33738.0	33723.0	33715.0	33706.0	33691.0
76	Greece	8331725.0	8398050.0	8448233.0	8479625.0	8510429.0	8550333.0	8613651.0	8684088.0	8740765.0	8772764.0	8792806.0	8831036.0	8888628.0	8929086.0	8962022.0	9046541.0	9188150.0	9308479.0	9429959.0	9548258.0	9642505.0	9729350.0	9789513.0	9846627.0	9895801.0	9934300.0	9967213.0	10000595.0	10036983.0	10089498.0	10196792	10319927	10399061.0	10460415.0	10512922.0	10562153	10608800	10661259	10720509	10761698	10805808	10862132	10902022	10928070	10955141	10987314	11020362	11048473	11077841	11107017	11121341	11104899	11045011.0	10965211.0	10892413.0	10820883.0	10775971.0	10754679.0	10732882.0	10721582.0	10715549.0
77	Greenland	32500.0	33700.0	35000.0	36400.0	37600.0	39200.0	40500.0	41900.0	43400.0	44900.0	46400.0	47200.0	48300.0	49000.0	49500.0	49600.0	49700.0	49400.0	49200.0	49600.0	50200.0	51000.0	51500.0	52100.0	52700.0	53200.0	53500.0	54100.0	54800.0	55300.0	55600	55500	55300.0	55200.0	55500.0	55800	55900	56000	56100	56100	56200	56350	56609	56765	56911	56935	56774	56555	56328	56323	56905	56890	56810.0	56483.0	56295.0	56114.0	56186.0	56172.0	56023.0	56225.0	56367.0
78	Grenada	89927.0	91324.0	92481.0	93409.0	94122.0	94634.0	94936.0	95012.0	94929.0	94723.0	94476.0	94212.0	93984.0	93661.0	93190.0	92494.0	91469.0	90219.0	89104.0	88603.0	89032.0	90610.0	93132.0	96020.0	98472.0	99953.0	100183.0	99425.0	98126.0	96932.0	96328	96462	97161.0	98234.0	99345.0	100286	101003	101567	102023	102429	102837	103242	103636	104003	104346	104658	104938	105183	105457	105787	106227	106786	107452.0	108172.0	108900.0	109603.0	110263.0	110874.0	111449.0	112002.0	112519.0
79	Guam	66733.0	68065.0	69605.0	71289.0	73047.0	74828.0	76611.0	78412.0	80212.0	82040.0	83875.0	85729.0	87580.0	89459.0	91378.0	93351.0	95380.0	97477.0	99629.0	101837.0	104134.0	106482.0	108901.0	111403.0	113953.0	116576.0	119228.0	121923.0	124674.0	127525.0	130480	133553	136693.0	139813.0	142806.0	145559	148061	150303	152274	153955	155323	156395	157173	157723	158094	158406	158649	158848	159037	159232	159439	159690	159990.0	160415.0	161007.0	161851.0	162948.0	164281.0	165770.0	167295.0	168783.0
80	Guatemala	4128880.0	4251911.0	4378604.0	4508444.0	4640795.0	4774984.0	4910790.0	5047435.0	5184095.0	5320100.0	5455197.0	5589563.0	5723759.0	5858466.0	5994300.0	6131151.0	6269983.0	6412667.0	6561919.0	6720582.0	6890346.0	7071186.0	7262658.0	7462585.0	7669863.0	7884034.0	8104921.0	8332446.0	8566331.0	8805995.0	9050115	9296814	9544055.0	9790619.0	10037522.0	10286786	10536942	10788362	11046215	11311078	11589761	11871565	12147518	12415334	12682108	12948292	13213330	13477017	13739299	14000190	14259687	14521515	14781942.0	15043981.0	15306316.0	15567419.0	15827690.0	16087418.0	16346950.0	16604026.0	16858333.0
81	Guinea	3494164.0	3552068.0	3611428.0	3672560.0	3735912.0	3801711.0	3870204.0	3941046.0	4013050.0	4084601.0	4154606.0	4223056.0	4290544.0	4357357.0	4424030.0	4491248.0	4559239.0	4628881.0	4702371.0	4782491.0	4871446.0	4969595.0	5077073.0	5195443.0	5326369.0	5470716.0	5629420.0	5801323.0	5982484.0	6167480.0	6352282	6534936	6716032.0	6897171.0	7081119.0	7269631	7463782	7662071	7860772	8054745	8240735	8417082	8586077	8753097	8925729	9109585	9307421	9518159	9738796	9964470	10192168	10420459	10652032.0	10892821.0	11150970.0	11432096.0	11738434.0	12067516.0	12414292.0	12771246.0	13132792.0
82	Guinea-Bissau	616140.0	622754.0	628877.0	635008.0	641821.0	649795.0	658998.0	669243.0	680431.0	692407.0	704937.0	718359.0	732516.0	746178.0	757668.0	765985.0	770415.0	771732.0	772137.0	774726.0	781678.0	793804.0	810402.0	830212.0	851276.0	872163.0	892530.0	912755.0	933046.0	953782.0	975265	997522	1020353.0	1043421.0	1066345.0	1088850	1110835	1132505	1154372	1177133	1201305	1227105	1254454	1283297	1313492	1344931	1377582	1411545	1446936	1483920	1522603	1562996	1604981.0	1648259.0	1692433.0	1737207.0	1782434.0	1828146.0	1874304.0	1920917.0	1967998.0
83	Guyana	571813.0	589274.0	606286.0	622580.0	637835.0	651865.0	664518.0	675861.0	686144.0	695743.0	704930.0	713684.0	721949.0	729909.0	737846.0	745847.0	754101.0	762424.0	770128.0	776257.0	780153.0	781734.0	781249.0	778953.0	775217.0	770439.0	764447.0	757451.0	750641.0	745581.0	743306	744477	748596.0	754141.0	758896.0	761298	760801	757975	753778	749676	746718	745206	744789	745142	745737	746156	746335	746477	746815	747718	749430	752029	755388.0	759281.0	763371.0	767433.0	771363.0	775218.0	779007.0	782775.0	786559.0
