id_comercio|id_bandera|id_sucursal|id_producto|productos_ean|productos_descripcion|productos_cantidad_presentacion|productos_unidad_medida_presentacion|productos_marca|productos_precio_lista|productos_precio_referencia|productos_cantidad_referencia|productos_unidad_medida_referencia|productos_precio_unitario_promo1|productos_leyenda_promo1|productos_precio_unitario_promo2|productos_leyenda_promo2
3|1|1389|7798024760781|1|PEBETE PECHUGA CRISPY X UN|1.00|unidad| |6160.00|6160.00|1|unidad||||
3|1|1389|7798024760361|1|PECHUGA GRILLE C/VEGETAL DEL HUERTO X UN|1.00|unidad| |7840.00|7840.00|1|unidad||||
3|1|1389|0000077915481|1|PEPITOS ALFAJOR TRIPLE DE CHOCOLATE X 57GR|1.00|unidad| |1790.00|1790.00|1|unidad||||
3|1|1389|7791813828365|1|PEPSI BLACK PET X 500CC|1.00|unidad| |1650.00|1650.00|1|unidad||||
3|1|1389|7792860001114|1|PICO DULCE CHUPETIN X 14 GR.|1.00|unidad| |340.00|340.00|1|unidad||||
3|1|1389|0000000024145|0|PISTACHO X 100 GR|100.00|gr| |300.00|3000.00|1|kg||||
3|1|1389|7798031471120|1|POCHOCLO POPCORN MARLOMS DULCE 95G|95.00|gr| |205.00|2157.89|1|kg||||
3|1|1389|7798031471113|1|POCHOCLO POPCORN MARLOMS MANTECA 100G|100.00|gr| |205.00|2050.00|1|kg||||
3|1|1389|7791905004332|1|POLYANA JABON PINK 3 UNIDADES|1.00|unidad| |595.00|595.00|1|unidad||||
3|1|1389|7798304840493|1|Postre Frigor DDL/Crema 6x535gr|535.00|gr| |690.00|1289.72|1|kg||||
3|1|1389|7790895641183|1|POWERADE FRUTAS TROPICALES PET X 500CC|1.00|unidad| |2100.00|2100.00|1|unidad||||
3|1|1389|7790895640018|1|POWERADE MANZANA PET X 500CC|1.00|unidad| |2100.00|2100.00|1|unidad||||
3|1|1389|7790895640025|1|POWERADE MOUNTAIN BLAST PET X 500CC|1.00|unidad| |2100.00|2100.00|1|unidad||||
3|1|1389|7791519200021|1|PRIME PRESERVATIVO ANATOMICO CAJA X 3 UNID.|1.00|unidad| |3670.00|3670.00|1|unidad||||
3|1|1389|7791519200076|1|PRIME PRESERVATIVO ESPERMICIDA CAJA X 3 UNID.|1.00|unidad| |3670.00|3670.00|1|unidad||||
3|1|1389|7791519000676|1|PRIME PRESERVATIVO EXTRA LUBRICADO CAJA X 3 UNID.|1.00|unidad| |3670.00|3670.00|1|unidad||||
3|1|1389|7791519200045|1|PRIME PRESERVATIVO SUPERFINO CAJA X 3 UNID.|1.00|unidad| |3670.00|3670.00|1|unidad||||
3|1|1389|7791519200090|1|PRIME PRESERVATIVO TACHAS CAJA X 3 UNID.|1.00|unidad| |3670.00|3670.00|1|unidad||||
3|1|1389|7791519200069|1|PRIME PRESERVATIVO TEXTURADO CAJA X 3 UNID.|1.00|unidad| |3670.00|3670.00|1|unidad||||
3|1|1389|0000000020819|0|PRINGLES PAPAS FRITAS CREMA Y CEBOLLA TUBO X 40G|40.00|gr| |210.00|5250.00|1|kg||||
3|1|1389|0000000021927|0|PRINGLES PAPAS FRITAS CREMA Y CEBOLLA TUBO X 71G|1.00|unidad| |1155.00|1155.00|1|unidad||||
3|1|1389|0000000020820|0|PRINGLES PAPAS FRITAS ORIGINAL TUBO X 37G|37.00|gr| |210.00|5675.68|1|kg||||
3|1|1389|0000000021928|0|PRINGLES PAPAS FRITAS ORIGINAL TUBO X 67G|1.00|unidad| |1155.00|1155.00|1|unidad||||
3|1|1389|0000000020821|0|PRINGLES PAPAS FRITAS QUESO TUBO X 37G|37.00|gr| |210.00|5675.68|1|kg||||
3|1|1389|0000000021929|0|PRINGLES PAPAS FRITAS QUESO TUBO X 71G|1.00|unidad| |1155.00|1155.00|1|unidad||||
3|1|1389|7790513005557|1|PROTEINA DE SOJA ORGÁNICA X 200 GR|200.00|gr| |325.00|1625.00|1|kg||||
3|1|1389|7792170000647|1|QUAKER AVENA INSTANTANEA X 400 GR|1.00|unidad| |190.00|190.00|1|unidad||||
3|1|1389|7792170000661|1|QUAKER AVENA TRADICIONAL X 300 GR|1.00|unidad| |114.00|114.00|1|unidad||||
3|1|1389|7790742167101|1|Queso LS Finlandia Chef Fetas Cheddar 150gr|1.00|unidad| |685.00|685.00|1|unidad||||
